11,TRITON - Legacy No Heater,Normal,Secondwind
76,TRITON - Legacy No Heater,Normal,SWI
77,TRITON - Legacy Heater,Normal,Secondwind
78,TRITON - Legacy No Heater,Normal,Secondwind
88,TRITON - Legacy No Heater,Normal,Palm Springs Test
93,TRITON - Legacy No Heater,Normal,Secondwind
97,TRITON - Legacy No Heater,Normal,VaisalaHEL
99,TRITON - TPU No Heater,Normal,SWI
102,TRITON - Legacy No Heater,Normal,Secondwind
104,TRITON - Legacy No Heater,Normal,WindLogics
105,TRITON - TPU Heater,Normal,Secondwind
106,TRITON - TPU Heater,Normal,KB Energy
107,TRITON - Legacy No Heater,Normal,Terra-Gen
108,TRITON - Legacy No Heater,Normal,Secondwind
109,TRITON - Legacy No Heater,Normal,Palm Springs Test
110,TRITON - Legacy No Heater,Normal,BPA
111,TRITON - Legacy No Heater,Normal,BPA
112,TRITON - Legacy No Heater,Normal,Palm Springs Test
113,TRITON - Legacy No Heater,Normal,Horizon
114,TRITON - Legacy No Heater,Normal,INL
115,TRITON - Legacy No Heater,Normal,BoiseState
116,TRITON - TPU No Heater,Normal,Sequoia
117,TRITON - Legacy No Heater,Normal,MontezumaWetlands
118,TRITON - Legacy No Heater,Normal,MontezumaWetlands
119,TRITON - Legacy No Heater,Normal,Columbia Energy
120,TRITON - Legacy No Heater,Normal,WED
121,TRITON - Legacy No Heater,Normal,Secondwind
122,TRITON - Legacy No Heater,Normal,Green Wing Energy
123,TRITON - Legacy No Heater,Normal,Clemson
124,TRITON - TPU No Heater,Normal,Convivium
125,TRITON - Legacy No Heater,Normal,Secondwind
126,TRITON - Legacy No Heater,Normal,WPCWP
127,TRITON - Legacy No Heater,Normal,WED
128,TRITON - OPS,Normal,Coram
129,TRITON - Legacy No Heater,Normal,Sequoia
130,TRITON - Legacy No Heater,Normal,Onsemble
131,TRITON - TPU No Heater,Normal,WPCWP
132,TRITON - Legacy No Heater,Normal,PSWM_PL
133,TRITON - Legacy No Heater,Normal,Connecticut College
134,TRITON - Legacy No Heater,Normal,Onsemble
135,TRITON - Legacy No Heater,Normal,Pantex
136,TRITON - Legacy No Heater,Normal,WindProspect
137,TRITON - Legacy No Heater,Normal,CCI Energy
138,TRITON - Legacy No Heater,Normal,PSWM_BG
139,TRITON - Legacy No Heater,Normal,Genesis Energy
140,TRITON - Legacy No Heater,Normal,WPCWP
141,TRITON - Legacy No Heater,Normal,WPCWP
142,TRITON - TPU No Heater,Normal,Santee Cooper
143,TRITON - Legacy No Heater,Normal,PSWM_SRB
144,TRITON - Legacy No Heater,Normal,WPCWP
145,TRITON - Legacy No Heater,Normal,WPCWP
146,TRITON - Legacy No Heater,Normal,WPCWP
147,TRITON - Legacy No Heater,Normal,Shell Wind
148,TRITON - Legacy No Heater,Normal,WPCWP
149,TRITON - Legacy No Heater,Normal,Baruch Wind
150,TRITON - TPU No Heater,Normal,Acciona
151,TRITON - Legacy No Heater,Normal,WPCWP
152,TRITON - Legacy No Heater,Normal,allEarth
154,TRITON - Legacy No Heater,Normal,Acciona
155,TRITON - Legacy No Heater,Normal,AGL
156,TRITON - Legacy No Heater,Normal,Invenergy
157,TRITON - Legacy No Heater,Normal,AGL
158,TRITON - Legacy No Heater,Normal,WPCWP
159,TRITON - Legacy No Heater,Normal,Jasper Wind
160,TRITON - Legacy No Heater,Normal,Padoma
161,TRITON - Legacy No Heater,Normal,WPCWP
162,TRITON - TPU Heater,Normal,Tradewind Energy
163,TRITON - Legacy No Heater,Normal,Admiral Parkway
164,TRITON - Legacy Heater,Normal,INL
165,TRITON - Legacy Heater,Normal,Windland
166,TRITON - Legacy No Heater,Normal,Invenergy
167,TRITON - Legacy Heater,Normal,Hadley Wind
168,TRITON - Legacy Heater,Normal,Vaisala Meas Ops
169,TRITON - TPU Heater,Normal,WindLogics
170,TRITON - TPU Heater,Normal,Sequoia
171,TRITON - TPU Heater,Normal,Horizon
172,TRITON - TPU Heater,Normal,WindLogics
173,TRITON - TPU Heater,Normal,Tradewind Energy
174,TRITON - TPU Heater,Normal,Horizon
175,TRITON - Legacy Heater,Normal,Horizon
176,TRITON - Legacy Heater,Normal,Columbia Energy
177,TRITON - TPU Heater,Normal,Sequoia
178,TRITON - Legacy Heater,Normal,Baseline Renewables
179,TRITON - TPU No Heater,Normal,Valorem
180,TRITON - Legacy Heater,Normal,Cannon
181,TRITON - Legacy Heater,Normal,JMU
182,TRITON - Legacy No Heater,Normal,Jasper Wind
183,TRITON - Legacy Heater,Normal,UMASS
184,TRITON - Legacy No Heater,Normal,Verve Energy
185,TRITON - Legacy No Heater,Normal,FFE
186,TRITON - Legacy Heater,Normal,Duke Energy
187,TRITON - Legacy Heater,Normal,Baseline Renewables
188,TRITON - Legacy Heater,Normal,Horizon
189,TRITON - Legacy Heater,Normal,Duke Energy
190,TRITON - Legacy No Heater,Normal,West Texas Power
191,TRITON - TPU Heater,Normal,RampCast SCE
192,TRITON - TPU Heater,Normal,TransAlta
193,TRITON - Legacy No Heater,Normal,Navy
194,TRITON - Legacy No Heater,Normal,Barlovento
195,TRITON - Legacy Heater,Normal,CPV
196,TRITON - Legacy No Heater,Normal,Sartelco
197,TRITON - TPU Heater,Normal,RampCast SCE
198,TRITON - Legacy Heater,Normal,Ridgeline
199,TRITON - Legacy No Heater,Normal,Sartelco
200,TRITON - TPU Heater,Normal,RampCast SCE
201,TRITON - TPU Heater,Normal,PrjResources
202,TRITON - Legacy Heater,Normal,OakCreek
203,TRITON - Legacy Heater,Normal,Horizon
204,TRITON - TPU Heater,Normal,RampCast SCE
205,TRITON - Legacy Heater,Normal,Horizon
206,TRITON - Legacy Heater,Normal,NPPD
208,TRITON - Legacy Heater,Normal,NPPD
209,TRITON - Legacy No Heater,Normal,Wind Lab US
210,TRITON - Legacy Heater,Normal,BNE
211,TRITON - Legacy No Heater,Normal,City of Vernon
212,TRITON - Legacy No Heater,Normal,Eurosat
213,TRITON - Legacy Heater,Normal,NPPD
214,TRITON - Legacy Heater,Normal,Edison Mission Energy
215,TRITON - Legacy Heater,Normal,Horizon
216,TRITON - TPU Heater,Normal,RES
217,TRITON - Legacy Heater,Normal,Horizon
218,TRITON - Legacy Heater,Normal,BP Wind
219,TRITON - Legacy No Heater,Normal,City of Vernon
220,TRITON - Legacy Heater,Normal,Horizon
221,TRITON - TPU No Heater,Normal,Meridian
222,TRITON - TPU No Heater,Normal,Meridian
223,TRITON - TPU Heater,Normal,Gamesa
224,TRITON - Legacy No Heater,Normal,Barlovento
225,TRITON - Legacy No Heater,Normal,Dulas
226,TRITON - Legacy Heater,Normal,Yale
227,TRITON - Legacy No Heater,Normal,RWE Npower
228,TRITON - TPU Heater,Normal,Horizon
229,TRITON - Legacy Heater,Normal,OakCreek
230,TRITON - Legacy No Heater,Normal,Wind Lab AU
231,TRITON - Legacy Heater,Normal,EFO
232,TRITON - Legacy Heater,Normal,First Wind
233,TRITON - Legacy Heater,Normal,Cornerstone Energy
234,TRITON - Legacy Heater,Normal,Wind Lab US
235,TRITON - Legacy No Heater,Normal,Barlovento
236,TRITON - Legacy Heater,Normal,Wind Lab US
237,TRITON - OPS,Normal,Compagnie du Vent
238,TRITON - Legacy No Heater,Normal,Carbon 2050
239,TRITON - TPU No Heater,Normal,Wind Lab AU
240,TRITON - Legacy No Heater,Normal,Energy Systems
241,TRITON - TPU No Heater,Normal,RES UK
242,TRITON - Legacy Heater,Normal,Horizon
243,TRITON - Legacy Heater,Normal,NaturEner
244,TRITON - TPU Heater,Normal,DP Energy
245,TRITON - Legacy Heater,Normal,Horizon
246,TRITON - Legacy No Heater,Normal,Infigen
247,TRITON - Legacy No Heater,Normal,Infigen
248,TRITON - Legacy Heater,Normal,Dot Foods
249,TRITON - OPS,Normal,Horizon
250,TRITON - Legacy Heater,Normal,Terra-Gen
251,TRITON - Legacy Heater,Normal,Frontera
252,TRITON - Legacy No Heater,Normal,Blair Fox
253,TRITON - TPU No Heater,Normal,Wind Lab AU
254,TRITON - Legacy Heater,Normal,BP Wind
255,TRITON - Legacy Heater,Normal,BP Wind
256,TRITON - Legacy Heater,Normal,BNE
257,TRITON - Legacy No Heater,Normal,Secondwind
258,TRITON - Legacy Heater,Normal,Marshall
259,TRITON - Legacy Heater,Normal,BP Wind
260,TRITON - Legacy Heater,Normal,Ogin
261,TRITON - Legacy No Heater,Normal,Wind Lab SA
262,TRITON - Legacy Heater,Normal,Wind Lab US
263,TRITON - Legacy No Heater,Normal,Torch
264,TRITON - TPU No Heater,Custom,Gold Wind
265,TRITON - TPU Heater,Normal,RampCast SCE
266,TRITON - TPU No Heater,Normal,Wind Lab AU
267,TRITON - Legacy No Heater,Normal,Caja Rural
268,TRITON - TPU Heater,Normal,allEarth
269,TRITON - TPU Heater,Normal,Horizon
270,TRITON - TPU Heater,Normal,Geronimo
271,TRITON - Legacy Heater,Normal,ZNC
272,TRITON - Legacy Heater,Normal,Geronimo
273,TRITON - Legacy No Heater,Normal,Wind Lab SA
274,TRITON - Legacy No Heater,Normal,Wind Lab SA
275,TRITON - Legacy Heater,Normal,Pattern
276,TRITON - TPU Heater,Normal,EAPC
277,TRITON - TPU Heater,Normal,RES Canada
278,TRITON - Legacy Heater,Normal,Horizon
279,TRITON - Legacy Heater,Normal,Wind Lab US
280,TRITON - Legacy Heater,Normal,Horizon
281,TRITON - Legacy Heater,Normal,NREL
282,TRITON - TPU Heater,Normal,Capital Power
